Bin;Labor_rate_A;Labor_rate_B;Labor_rate_C;Mean
(0, 500];0.45;0.24;0.22;0.3
(500, 1000];0.2;0.18;0.18;0.18
(1000, 1500];0.13;0.16;0.12;0.14
(1500, 2000];0.11;0.12;0.12;0.12
(2000, 2500];0.07;0.09;0.09;0.08
(2500, 3000];0.07;0.08;0.09;0.08
(3000, 3500];0.07;0.07;0.07;0.07
(3500, 4000];0.07;0.06;0.07;0.07
(4000, 4500];0.07;0.06;0.07;0.07
(4500, 5000];0.07;0.07;0.07;0.07
(5000, 5500];0.07;0.06;0.08;0.07
(5500, 6000];0.07;0.06;0.07;0.07
(6000, 6500];0.08;0.08;0.08;0.08
(6500, 7000];0.06;0.11;0.06;0.08
(7000, 7500];0.07;0.07;0.07;0.07
(7500, 8000];0.06;0.06;0.06;0.06
(8000, 8500];0.06;0.06;0.06;0.06
(8500, 9000];0.07;0.06;0.08;0.07
(9000, 9500];0.08;0.08;0.08;0.08
(9500, 10000];0.07;0.07;0.07;0.07
(10000, 10500];0.09;0.09;0.09;
(10500, 11000];0.09;0.09;0.09;
(11000, 11500];0.06;0.06;0.06;0.06
(11500, 12000];0.07;0.07;0.07;0.07
(12000, 12500];0.08;0.08;0.08;0.08
